ID,Region,Looping,HolidayNameID,HolidayDescriptionID,Priority,CalendarFilterType,Flags,Duration_0,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Duration_7,Duration_8,Duration_9,Date_0,Date_1,Date_2,Date_3,Date_4,Date_5,Date_6,Date_7,Date_8,Date_9,Date_10,Date_11,Date_12,Date_13,Date_14,Date_15,Date_16,Date_17,Date_18,Date_19,Date_20,Date_21,Date_22,Date_23,Date_24,Date_25,CalendarFlags_0,CalendarFlags_1,CalendarFlags_2,CalendarFlags_3,CalendarFlags_4,CalendarFlags_5,CalendarFlags_6,CalendarFlags_7,CalendarFlags_8,CalendarFlags_9,TextureFileDataID_0,TextureFileDataID_1,TextureFileDataID_2
1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,527546368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1,0,12,11,4,3,1,18,0,0,0,0,0,0,0,0,0,526449024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235457,0,0
141,0,0,14,13,75,3,1,432,0,0,0,0,0,0,0,0,0,531872128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235485,235484,235482
161,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,536869376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,15,14,2,3,1,0,0,0,0,0,0,0,0,0,0,104054784,338884608,355530752,372520960,389167104,405256192,422901760,439449600,455555712,473184896,489716352,506821248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235477,235476,235475
201,0,0,13,12,2,3,1,168,0,0,0,0,0,0,0,0,0,390084608,406878848,423033472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235445,235444,235443
263,0,0,1,1,1,1,1,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235448,235447,235446
264,0,0,1,26,1,1,1,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,235451,235450,235449
281,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,536870208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,0,0,22,22,0,2,1,100,0,0,0,0,0,0,0,0,0,414627840,419706880,420591616,420935680,421869568,422754304,423655424,423999488,424884224,425785344,426129408,427014144,427898880,428242944,429144064,430028800,430372864,431273984,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
