ID,Name_lang
1,"Feria de la Luna Negra"
5,"Celebración de Fuegos artificiales"
6,"Gran espectáculo de pesca de Tuercespina"
9,"Amor en el aire"
11,"Festival de Fuego del Solsticio de Verano"
12,"Espectáculo de fuegos artificiales"
13,"Semana de los Niños"
14,"El festín del Festival de Invierno"
15,"Jardín Noble"
16,Halloween
17,"Festival de la Cosecha"
18,"Festival Lunar"
22,"Llamamiento a las armas: Valle de Alterac"
23,"Llamamiento a las armas: Cuenca de Arathi"
25,"Llamamiento a las armas: Garganta Grito de Guerra"
462,"Llamamiento a las armas: Islas Lanza Negra"
