12.1.0.68209
decor(17799),	-- Soulcoiler Canopy
decor(18900),	-- Ula'tek Ritual Monolith
decor(18901),	-- Venom Scholar's Focus
decor(21102),	-- Serpent-Caller Spike
decor(21324),	-- Stitched Blisterfang Bag
decor(21325),	-- Fanged Scaleskin Pouch
decor(21616),	-- Feathered Ula'tek Talisman
decor(21617),	-- Opened Serpentine Reliquary
decor(21653),	-- Clutch of Ula'tek
decor(21720),	-- Egg of Ula'tek
decor(21725),	-- Destroyed Clutch of Ula'tek
decor(21832),	-- Venomous Tendril
decor(21833),	-- Oozing Vilescar Barricade
decor(21949),	-- Seaside Firefly Jar
decor(21951),	-- Ula'tek Ritual Stone
decor(21952),	-- Venomous Pyre
decor(21953),	-- Venombound Ropes
decor(21956),	-- Hanging Coiled Isle Ropes
decor(22144),	-- Seaside Tiki Frondtree
decor(22145),	-- Preyhunter's Scaled Effigy
decor(22146),	-- Preyhunter's Fanged Effigy
decor(22147),	-- Preyhunter's Fanged Bust
decor(22148),	-- Preyhunter's Terror Effigy
decor(22397),	-- Seaside Tiki Market Stand
decor(22398),	-- Seaside Charcoal Grill
decor(22895),	-- Seaside Cushioned Chair
decor(22916),	-- Amani Decorative Plinth
decor(22917),	-- Amani Road Marker
decor(22918),	-- Woven Forest Troll Rug
decor(22919),	-- Steamy Romance Tablet
decor(22920),	-- Amani Building Peg
decor(22921),	-- Forest Troll Fence
decor(22922),	-- Forest Troll Fencepost
decor(22924),	-- Witch Doctor's Punch Bowl
decor(22925),	-- Shrine of Nalorakk, Loa of War
decor(22926),	-- Shrine of Jan'alai, Loa of Fire
decor(22927),	-- Shrine of Akil'zon, Loa of Victory
decor(23175),	-- Seaside Lounge Chair
decor(23176),	-- Maruukai Barricade \\ Short Centaur Wall
decor(23177),	-- Wide Maruukai Barricade \\ Long Centaur Wall
decor(23178),	-- Maruukai Storage Basket \\ Closed Centaur Basket
decor(23179),	-- Open Maruukai Storage Basket \\ Open Centaur Basket
decor(23180),	-- Maruukai Wooden Table \\ Centaur Table
decor(23181),	-- Maruukai Feast Table \\ Centaur Bench
decor(23182),	-- Bakar's Napping Rug \\ Round Centaur Carpet
decor(23183),	-- Ornate Khanam's Rug \\ Wide Centaur Carpet
decor(23184),	-- Large Ornate Khanam's Rug \\ Narrow Centaur Carpet
decor(23185),	-- Maruukai Chef's Stove \\ Centaur Stove
decor(23186),	-- Tapered Maruukai Barricade \\ Tapered Centaur Wall
decor(23188),	-- Shrine of Halazzi, Loa of the Hunt
decor(23548),	-- Bakar's Favorite Ball \\ Ball
decor(23549),	-- Pet Food and Water Tray
decor(23550),	-- Bakar's Snack \\ Cooked Leg of Meat
decor(23551),	-- Bakar's Dinner \\ Cooked Rack of Meat
decor(23553),	-- Small Wooden Floor Tile
decor(23554),	-- Large Wooden Floor Tile
decor(23555),	-- Small Triangular Wooden Tile \\ Small Triangular Tile
decor(23556),	-- Large Triangular Wooden Tile \\ Large Triangular Tile
decor(23557),	-- Tall Round Wooden Column \\ Tall Round Column
decor(23558),	-- Short Round Wooden Column \\ Short Round Column
decor(23559),	-- Short Square Wooden Column \\ Short Square Column
decor(23560),	-- Tall Square Wooden Column \\ Tall Square Column
decor(23707),	-- Small Wooden Wall Tile
decor(23708),	-- Large Wooden Wall Tile
decor(23709),	-- Wide Wooden Staircase
decor(23710),	-- Spiral Wooden Stairs \\ Spiraling Wooden Stairs
decor(23868),	-- Seaside Hanging Lantern
decor(23869),	-- Seaside Straw Umbrella
decor(23870),	-- Seaside Painted Surfboard
decor(23871),	-- Cauldron of Ula'tek
decor(23873),	-- Sealed Serpentine Reliquary
decor(23874),	-- Wrapped Scaleskin Urn
decor(23875),	-- Cracked Vilescar Urn
decor(23876),	-- Charmed Blisterfang Urn
decor(23881),	-- Soulcoiler Sconce
decor(23883),	-- Seaside Waterfall Basin
decor(24196),	-- Seaside Depths Porthole
decor(24512),	-- Soulcoiler Skull
decor(24519),	-- Soulcoiler Jaw
decor(24630),	-- Seaside Murloc Tiki Totem
decor(24753),	-- Seaside Tiki Gazebo
decor(24755),	-- Seaside Fire Pit
decor(24765),	-- Zul'Aman Creeping Pangoroot
decor(24888),	-- Tune-O-Tron 6000
decor(24889),	-- Zul'Aman Swamp Palm Sprout
decor(24890),	-- Preyhunter's Scaled Bust
decor(24891),	-- Preyhunter's Terror Bust
decor(25101),	-- Westfall Pet Cage
decor(25102),	-- Crossroads Pet Cage
decor(25103),	-- Crude Pet Cage
decor(25104),	-- Breanni's Menagerie Aquarium
decor(25105),	-- Silvermoon Dragonhawk Incubator
decor(25106),	-- Cozy Lightbloom Lilypad
decor(25121),	-- Cozy Bird Nest
decor(25122),	-- Loyal Companion's Plinth
decor(25128),	-- Griftah's Torch of Rotation
decor(25131),	-- The Venomous Abyss Aureate Trophy
decor(25132),	-- The Venomous Abyss Gleaming Trophy
decor(25133),	-- The Venomous Abyss Argent Trophy
decor(25274),	-- Gilded Silvermoon Compass
decor(25279),	-- Blood Knight's Decorative Shield \\ Hanging Blood Knights Shield
decor(25284),	-- Sturdy Silvermoon Crate
decor(25286),	-- Sturdy Silvermoon Crate Lid
decor(25287),	-- Adorned Sin'dorei Satchel
decor(25288),	-- Stonecarved Sin'dorei Jar
decor(25289),	-- Mysterious Sin'dorei Candlestick
decor(25292),	-- Altar of Corrosion
decor(25293),	-- Pillar of the Fanged Altar
decor(25294),	-- Amani Worship Candle
decor(25295),	-- Amani Ritual Candles
decor(25296),	-- Zul'Aman Burning Pinecone
decor(25297),	-- Traditional Tortollan Tent
decor(25299),	-- Aged Tortollan Scroll Case
decor(25300),	-- Blue Tortollan Signpost
decor(25336),	-- Yellowed Kelp Pile
